"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
5 Feb 2024 08:41:04.151,5 Feb 2024 08:50:59.072,594.921,"236","N/A",58.376,-85.272,565.471899,21.070,-87.758,552.744910,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"236","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
5 Feb 2024 10:15:53.696,5 Feb 2024 10:27:55.507,721.812,"237","N/A",61.958,-109.044,566.629384,16.692,-112.060,551.751524,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"237","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
5 Feb 2024 11:55:03.186,5 Feb 2024 11:57:50.331,167.145,"238","N/A",49.295,-133.901,562.248174,38.822,-134.600,558.364300,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"238","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
5 Feb 2024 21:00:03.298,5 Feb 2024 21:11:06.010,662.712,"244","N/A",19.409,-90.525,552.345020,60.962,-93.294,566.316227,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"244","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
5 Feb 2024 22:35:17.881,5 Feb 2024 22:46:49.571,691.690,"245","N/A",17.375,-114.401,551.893370,60.754,-117.291,566.249877,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"245","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
6 Feb 2024 08:37:46.381,6 Feb 2024 08:47:44.302,597.921,"251","N/A",58.450,-85.432,565.496518,20.955,-87.930,552.716445,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"251","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
6 Feb 2024 10:12:37.292,6 Feb 2024 10:24:38.271,720.979,"252","N/A",61.946,-109.209,566.625744,16.733,-112.221,551.759824,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"252","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
6 Feb 2024 11:51:54.464,6 Feb 2024 11:54:24.226,149.762,"253","N/A",48.802,-134.098,562.065981,39.419,-134.724,558.582002,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"253","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
6 Feb 2024 20:56:45.373,6 Feb 2024 21:07:49.974,664.601,"259","N/A",19.325,-90.683,552.325532,60.997,-93.460,566.327240,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"259","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
6 Feb 2024 22:32:02.195,6 Feb 2024 22:43:32.374,690.179,"260","N/A",17.432,-114.569,551.905422,60.716,-117.453,566.237769,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"260","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
7 Feb 2024 08:34:28.629,7 Feb 2024 08:44:29.505,600.876,"266","N/A",58.523,-85.591,565.520725,20.842,-88.102,552.688518,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"266","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
7 Feb 2024 10:09:20.896,7 Feb 2024 10:21:21.020,720.124,"267","N/A",61.934,-109.374,566.621959,16.774,-112.383,551.768332,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"267","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
